Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
2015-04-30,27.828168869018555,58.04301071166992,73.389404296875,91.77339172363281,40.40348434448242,41.66094207763672,42.880802154541016,20.082015991210938,55.257972717285156,114.80791473388672,11.88271427154541,79.4909896850586,92.97250366210938,61.13627243041992,27.966928482055664,21.18058967590332,28.707183837890625,46.84450149536133
2015-05-31,28.968868255615234,57.685691833496094,72.91813659667969,93.35195922851562,41.305721282958984,40.13633728027344,44.10857391357422,20.56734848022461,56.919342041015625,113.6082763671875,12.075011253356934,79.49883270263672,100.3251953125,63.570613861083984,27.721923828125,20.154796600341797,28.99029541015625,49.03434371948242
2015-06-30,28.006929397583008,57.57529067993164,72.89242553710938,91.11951446533203,38.619384765625,38.06095504760742,46.99141311645508,20.009477615356445,54.18353271484375,112.16639709472656,12.417618751525879,75.9924545288086,101.81906127929688,62.26320266723633,26.135103225708008,19.369895935058594,27.765844345092773,50.51029586791992
2015-07-31,27.084754943847656,56.442054748535156,76.56503295898438,89.37151336669922,40.30069351196289,40.25926208496094,50.12360382080078,21.519287109375,48.9962043762207,129.0220489501953,12.144928932189941,83.94540405273438,101.74744415283203,69.857177734375,26.236032485961914,19.656641006469727,29.315093994140625,51.08427810668945
2015-08-31,25.17788314819336,52.4305305480957,72.85408782958984,83.93860626220703,36.80788040161133,37.517845153808594,48.61404800415039,19.227718353271484,44.7467155456543,110.89509582519531,11.81204891204834,78.74823760986328,96.9701919555664,66.11121368408203,26.102500915527344,17.676769256591797,28.059133529663086,48.094322204589844
2015-09-30,24.740079879760742,53.37276840209961,76.21086120605469,84.30274200439453,33.759361267089844,38.40739822387695,53.49502944946289,18.890819549560547,43.750938415527344,101.53087615966797,11.591458320617676,78.73243713378906,97.2300033569336,64.69638061523438,24.68419647216797,17.82771873474121,28.630027770996094,45.74589157104492
2015-10-31,26.803611755371094,56.66680145263672,86.82299041748047,93.48403930664062,37.683189392089844,45.67927932739258,57.14588928222656,20.340259552001953,48.38217544555664,116.10871124267578,11.92233943939209,89.8614730834961,99.14047241210938,72.05204010009766,26.596073150634766,15.738106727600098,30.48320770263672,48.20686340332031
2015-11-30,26.534461975097656,56.023338317871094,88.30033111572266,93.10942077636719,36.54566192626953,47.16315841674805,57.691043853759766,19.708763122558594,47.22190856933594,118.2520751953125,12.207316398620605,91.19874572753906,94.87283325195312,73.380126953125,26.11974334716797,16.17802619934082,30.677553176879883,50.39108657836914
2015-12-31,23.710674285888672,59.44432830810547,92.09526062011719,90.16577911376953,36.4146728515625,48.46825408935547,54.516029357910156,19.57076072692871,47.537010192871094,119.75814056396484,12.475605010986328,89.83756256103516,99.02263641357422,72.15362548828125,26.56226348876953,16.854398727416992,31.159425735473633,49.89988708496094
2016-01-31,21.926631927490234,61.15106964111328,96.49186706542969,90.3812484741211,35.23432540893555,48.127532958984375,54.2197380065918,18.485511779785156,43.39045333862305,112.67572784423828,13.073823928833008,85.66482543945312,97.35381317138672,69.3065414428711,28.71735382080078,18.398469924926758,31.130401611328125,44.96506881713867
2016-02-29,21.780210494995117,60.626914978027344,91.35469818115234,93.8947525024414,34.91445541381836,44.44962692260742,53.85249710083008,17.98836326599121,47.80915832519531,104.96632385253906,13.64724349975586,86.04896545410156,100.68458557128906,67.3526840209961,29.512718200683594,18.392925262451172,31.2827205657959,42.83218765258789
2016-03-31,24.684110641479492,62.1522102355957,98.71524047851562,100.45724487304688,36.79195785522461,48.59626770019531,53.74757766723633,18.15084457397461,49.90041732788086,111.37920379638672,14.467184066772461,93.40381622314453,108.96929931640625,71.2984619140625,31.461610794067383,18.98902130126953,33.647247314453125,45.053680419921875
2016-04-30,21.23027992248535,60.49854278564453,99.3514175415039,100.90938568115234,38.46761703491211,43.880069732666016,51.66828155517578,20.030838012695312,52.02903366088867,117.59706115722656,14.337916374206543,88.44233703613281,111.77885437011719,72.00695037841797,29.6348934173584,18.677122116088867,32.747413635253906,48.081607818603516
2016-05-31,22.61634063720703,61.69451141357422,95.87189483642578,101.47608947753906,39.46368408203125,46.634124755859375,48.40723419189453,21.249469757080078,50.13969421386719,117.3370590209961,14.698150634765625,91.85450744628906,113.46805572509766,73.591796875,29.924184799194336,19.76919937133789,32.60122299194336,50.02405548095703
2016-06-30,21.783357620239258,64.45799255371094,94.52091979980469,106.27864074707031,40.41065216064453,45.338836669921875,48.38970947265625,21.754867553710938,51.4611930847168,113.77247619628906,16.22239875793457,95.79779815673828,119.86007690429688,69.26738739013672,32.82842254638672,20.544166564941406,33.134822845458984,47.62519454956055
